
> enterprise-auth-backend@1.0.0 dev
> nodemon --exec "ts-node --transpile-only" src/server.ts

[33m[nodemon] 3.1.11[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): src\**\* prisma\**\*[39m
[33m[nodemon] watching extensions: ts,json[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[2026-06-02T16:36:36.657Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:36:36.662Z] GET /api/notifications/unread-count
[2026-06-02T16:36:46.077Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:36:46.081Z] GET /api/notifications/unread-count
[2026-06-02T16:36:58.396Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:36:58.413Z] GET /api/trainer/enrollments
[2026-06-02T16:37:16.080Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:37:16.086Z] GET /api/notifications/unread-count
[2026-06-02T16:37:28.387Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:37:28.392Z] GET /api/trainer/enrollments
[2026-06-02T16:37:46.093Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:37:46.098Z] GET /api/notifications/unread-count
[2026-06-02T16:37:58.399Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:37:58.418Z] GET /api/trainer/enrollments
[2026-06-02T16:38:14.124Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:38:14.131Z] GET /api/notifications/unread-count
[2026-06-02T16:38:16.078Z] GET /api/notifications/unread-count
[2026-06-02T16:38:28.393Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:38:28.399Z] GET /api/trainer/enrollments
[2026-06-02T16:38:46.088Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:38:46.093Z] GET /api/notifications/unread-count
[2026-06-02T16:38:59.127Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:38:59.136Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:38:59.140Z] GET /api/notifications/unread-count
[2026-06-02T16:38:59.156Z] GET /api/trainer/enrollments
[2026-06-02T16:39:11.481Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:39:11.483Z] OPTIONS /api/trainer/students
[2026-06-02T16:39:11.487Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:39:11.509Z] OPTIONS /api/trainer/students
[2026-06-02T16:39:11.521Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:39:11.524Z] GET /api/trainer/enrollments
