2026-05-30 17:32:13.553 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.333 s, sync=0.014 s, total=0.376 s; sync files=4, longest=0.004 s, average=0.004 s; distance=12 kB, estimate=45 kB; lsn=0/26943D0, redo lsn=0/2694378
2026-05-30 17:37:13.554 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 17:37:13.948 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.338 s, sync=0.013 s, total=0.395 s; sync files=4, longest=0.005 s, average=0.004 s; distance=12 kB, estimate=41 kB; lsn=0/2697568, redo lsn=0/2697510
2026-05-30 17:47:13.973 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 17:47:14.348 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.331 s, sync=0.011 s, total=0.376 s; sync files=4, longest=0.003 s, average=0.003 s; distance=12 kB, estimate=38 kB; lsn=0/269A808, redo lsn=0/269A7B0
2026-05-30 17:52:13.352 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 17:52:13.735 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.334 s, sync=0.019 s, total=0.384 s; sync files=4, longest=0.007 s, average=0.005 s; distance=12 kB, estimate=36 kB; lsn=0/269DB88, redo lsn=0/269DB30
2026-05-30 18:02:13.747 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 18:02:14.133 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.336 s, sync=0.010 s, total=0.386 s; sync files=4, longest=0.003 s, average=0.003 s; distance=13 kB, estimate=33 kB; lsn=0/26A1010, redo lsn=0/26A0FB8
2026-05-30 18:40:51.786 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 18:40:52.161 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.012 s, total=0.377 s; sync files=4, longest=0.003 s, average=0.003 s; distance=14 kB, estimate=32 kB; lsn=0/26A4BC8, redo lsn=0/26A4B70
2026-05-30 18:55:51.196 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 18:55:51.566 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.012 s, total=0.375 s; sync files=4, longest=0.004 s, average=0.003 s; distance=20 kB, estimate=30 kB; lsn=0/26A9F78, redo lsn=0/26A9F20
2026-05-30 19:10:51.581 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 19:10:51.939 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.329 s, sync=0.012 s, total=0.360 s; sync files=4, longest=0.004 s, average=0.003 s; distance=14 kB, estimate=29 kB; lsn=0/26ADAB0, redo lsn=0/26ADA58
2026-05-30 19:15:51.942 +03 [14340] LOG:  checkpoint starting: time
