2026-05-26 00:08:36.642 +03 [16804] LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.118 s, sync=0.006 s, total=0.149 s; sync files=2, longest=0.004 s, average=0.003 s; distance=5 kB, estimate=24 kB; lsn=0/22E01A0, redo lsn=0/22E0148
2026-05-26 00:13:36.692 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:13:37.512 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.586 s, sync=0.136 s, total=0.844 s; sync files=4, longest=0.069 s, average=0.034 s; distance=15 kB, estimate=23 kB; lsn=0/22E40B0, redo lsn=0/22E4058
2026-05-26 00:18:36.516 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:18:37.114 +03 [16804] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.546 s, sync=0.022 s, total=0.600 s; sync files=6, longest=0.006 s, average=0.004 s; distance=34 kB, estimate=34 kB; lsn=0/22ECAE0, redo lsn=0/22ECA88
2026-05-26 00:23:36.143 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:23:36.542 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.341 s, sync=0.015 s, total=0.396 s; sync files=4, longest=0.008 s, average=0.004 s; distance=14 kB, estimate=32 kB; lsn=0/22F0450, redo lsn=0/22F03F8
2026-05-26 00:28:36.552 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:28:36.914 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.327 s, sync=0.011 s, total=0.367 s; sync files=4, longest=0.003 s, average=0.003 s; distance=19 kB, estimate=31 kB; lsn=0/22F5128, redo lsn=0/22F50D0
2026-05-26 00:33:36.929 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:33:37.532 +03 [16804] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.549 s, sync=0.027 s, total=0.607 s; sync files=6, longest=0.006 s, average=0.005 s; distance=33 kB, estimate=33 kB; lsn=0/22FD648, redo lsn=0/22FD5F0
2026-05-26 00:38:36.563 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:38:37.079 +03 [16804] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.459 s, sync=0.016 s, total=0.522 s; sync files=5, longest=0.005 s, average=0.004 s; distance=10 kB, estimate=30 kB; lsn=0/22FFF20, redo lsn=0/22FFEC8
2026-05-26 00:43:36.098 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:43:36.694 +03 [16804] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.555 s, sync=0.016 s, total=0.598 s; sync files=6, longest=0.004 s, average=0.003 s; distance=25 kB, estimate=30 kB; lsn=0/2306418, redo lsn=0/23063C0
2026-05-26 00:58:36.717 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:58:37.087 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.328 s, sync=0.010 s, total=0.371 s; sync files=4, longest=0.003 s, average=0.003 s; distance=11 kB, estimate=28 kB; lsn=0/2309400, redo lsn=0/23093A8
2026-05-26 01:13:36.117 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:13:36.507 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.336 s, sync=0.011 s, total=0.390 s; sync files=4, longest=0.004 s, average=0.003 s; distance=12 kB, estimate=26 kB; lsn=0/230C5E8, redo lsn=0/230C590
2026-05-26 01:18:36.517 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:18:36.890 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.016 s, total=0.375 s; sync files=4, longest=0.006 s, average=0.004 s; distance=12 kB, estimate=25 kB; lsn=0/230F7A0, redo lsn=0/230F748
2026-05-26 01:23:36.909 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:23:37.275 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.339 s, sync=0.010 s, total=0.370 s; sync files=4, longest=0.003 s, average=0.003 s; distance=13 kB, estimate=24 kB; lsn=0/2312C68, redo lsn=0/2312C10
2026-05-26 01:28:36.283 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:28:36.641 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.014 s, total=0.361 s; sync files=4, longest=0.005 s, average=0.004 s; distance=13 kB, estimate=23 kB; lsn=0/2316318, redo lsn=0/23162C0
2026-05-26 01:33:36.646 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:33:37.034 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.333 s, sync=0.014 s, total=0.390 s; sync files=4, longest=0.005 s, average=0.004 s; distance=17 kB, estimate=22 kB; lsn=0/231A8C8, redo lsn=0/231A870
2026-05-26 01:43:36.068 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:43:36.436 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.007 s, total=0.384 s; sync files=4, longest=0.003 s, average=0.002 s; distance=16 kB, estimate=22 kB; lsn=0/231EBA0, redo lsn=0/231EB48
2026-05-26 01:48:36.443 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:48:36.946 +03 [16804] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.451 s, sync=0.018 s, total=0.504 s; sync files=5, longest=0.007 s, average=0.004 s; distance=18 kB, estimate=21 kB; lsn=0/23233E8, redo lsn=0/2323390
2026-05-26 01:53:36.959 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:53:37.487 +03 [16804] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.462 s, sync=0.015 s, total=0.532 s; sync files=5, longest=0.005 s, average=0.003 s; distance=20 kB, estimate=21 kB; lsn=0/2328508, redo lsn=0/23284B0
2026-05-26 01:58:36.498 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 01:58:36.891 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.334 s, sync=0.014 s, total=0.394 s; sync files=4, longest=0.005 s, average=0.004 s; distance=12 kB, estimate=20 kB; lsn=0/232B8D8, redo lsn=0/232B880
2026-05-26 02:03:36.897 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:03:37.268 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.337 s, sync=0.012 s, total=0.373 s; sync files=4, longest=0.004 s, average=0.003 s; distance=12 kB, estimate=19 kB; lsn=0/232ECA8, redo lsn=0/232EC50
2026-05-26 02:08:36.274 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:08:36.626 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.324 s, sync=0.009 s, total=0.353 s; sync files=4, longest=0.004 s, average=0.003 s; distance=13 kB, estimate=19 kB; lsn=0/2332170, redo lsn=0/2332118
2026-05-26 02:13:36.644 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:13:37.014 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.332 s, sync=0.018 s, total=0.382 s; sync files=4, longest=0.006 s, average=0.005 s; distance=13 kB, estimate=18 kB; lsn=0/2335710, redo lsn=0/23356B8
2026-05-26 02:18:36.040 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:18:36.411 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.337 s, sync=0.013 s, total=0.374 s; sync files=4, longest=0.005 s, average=0.004 s; distance=14 kB, estimate=18 kB; lsn=0/2338FF8, redo lsn=0/2338FA0
2026-05-26 02:23:36.433 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:23:36.802 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.014 s, total=0.370 s; sync files=4, longest=0.004 s, average=0.004 s; distance=14 kB, estimate=17 kB; lsn=0/233CAC8, redo lsn=0/233CA70
2026-05-26 02:28:36.826 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:28:37.183 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.328 s, sync=0.009 s, total=0.359 s; sync files=4, longest=0.003 s, average=0.003 s; distance=15 kB, estimate=17 kB; lsn=0/23409B8, redo lsn=0/2340960
2026-05-26 02:33:36.192 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:33:36.573 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.333 s, sync=0.013 s, total=0.385 s; sync files=4, longest=0.005 s, average=0.004 s; distance=15 kB, estimate=17 kB; lsn=0/2344710, redo lsn=0/23446B8
2026-05-26 02:38:36.602 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 02:38:37.007 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.338 s, sync=0.014 s, total=0.408 s; sync files=4, longest=0.006 s, average=0.004 s; distance=16 kB, estimate=17 kB; lsn=0/23487D0, redo lsn=0/2348740
2026-05-26 02:53:36.042 +03 [16804] LOG:  checkpoint starting: time
